timeStep,prey,predators
,,
,,
0,249,57
1,259,57
2,267,57
3,274,57
4,281,57
5,286,58
6,312,58
7,313,58
8,319,59
9,338,59
10,339,59
11,350,59
12,353,59
13,359,59
14,377,59
15,379,59
16,376,59
17,387,60
18,389,60
19,394,60
20,388,60
21,403,60
22,414,60
23,415,59
24,427,60
25,430,60
26,431,62
27,435,62
28,439,63
29,440,63
30,452,63
31,460,63
32,457,63
33,452,63
34,464,63
35,460,63
36,470,62
37,467,62
38,480,61
39,472,61
40,475,60
41,466,60
42,465,61
43,477,61
44,469,61
45,484,62
46,467,62
47,479,63
48,494,64
49,495,63
50,496,63
51,492,63
52,491,63
53,492,63
54,502,63
55,502,63
56,519,64
57,521,65
58,523,64
59,526,64
60,527,64
61,528,64
62,539,64
63,536,64
64,532,63
65,547,64
66,539,64
67,540,64
68,531,64
69,538,65
70,528,66
71,527,66
72,550,66
73,541,65
74,550,63
75,555,63
76,550,63
77,559,64
78,547,64
79,563,64
80,566,63
81,568,64
82,583,64
83,583,63
84,574,64
85,582,63
86,588,62
87,573,62
88,598,62
89,590,61
90,581,61
91,597,61
92,605,61
93,599,62
94,607,61
95,609,60
96,616,60
97,625,60
98,629,60
99,618,60
100,631,60
101,646,60
102,623,60
103,639,62
104,653,62
105,665,62
106,663,61
107,675,61
108,672,61
109,689,61
110,671,60
111,690,60
112,671,60
113,703,59
114,705,60
115,702,60
116,695,59
117,715,58
118,725,58
119,697,57
120,714,57
121,702,56
122,710,57
123,718,57
124,724,57
125,731,54
126,722,54
127,716,54
128,752,54
129,755,54
130,742,54
131,735,54
132,735,54
133,764,53
134,761,53
135,753,53
136,757,53
137,741,53
138,757,53
139,763,51
140,770,51
141,776,50
142,792,50
143,798,49
144,803,49
145,815,49
146,829,50
147,823,48
148,816,49
149,826,49
150,841,50
151,830,50
152,836,50
153,850,49
154,836,50
155,855,50
156,857,51
157,865,51
158,880,51
159,880,52
160,890,52
161,892,52
162,902,52
163,903,53
164,944,53
165,934,52
166,942,51
167,951,51
168,955,51
169,958,52
170,974,52
171,948,52
172,961,51
173,955,50
174,972,50
175,965,51
176,982,51
177,994,52
178,992,53
179,991,52
180,1000,51
181,998,52
182,994,52
183,1000,51
184,1008,52
185,1039,52
186,1015,51
187,1044,51
188,1022,51
189,1052,51
190,1059,51
191,1054,51
192,1064,51
193,1064,51
194,1065,51
195,1086,50
196,1087,51
197,1066,51
198,1074,51
199,1081,51
200,1109,51
201,1110,51
202,1102,51
203,1130,51
204,1125,53
205,1123,53
206,1136,54
207,1142,54
208,1132,55
209,1163,55
210,1162,55
211,1183,55
212,1188,54
213,1189,55
214,1207,57
215,1207,57
216,1212,56
217,1230,56
218,1218,56
219,1231,55
220,1212,55
221,1225,55
222,1226,54
223,1238,54
224,1248,55
225,1245,56
226,1255,56
227,1254,56
228,1255,56
229,1267,56
230,1296,55
231,1267,55
232,1275,53
233,1275,54
234,1301,54
235,1299,54
236,1318,53
237,1315,53
238,1322,53
239,1339,53
240,1323,54
241,1366,53
242,1365,53
243,1384,52
244,1349,52
245,1361,50
246,1380,49
247,1384,49
248,1391,49
249,1410,49
250,1418,49
251,1418,48
252,1404,48
253,1440,48
254,1404,48
255,1429,48
256,1434,48
257,1433,48
258,1435,48
259,1445,48
260,1463,48
261,1471,48
262,1471,48
263,1501,47
264,1494,47
265,1498,48
266,1492,48
267,1517,49
268,1508,49
269,1525,49
270,1517,49
271,1541,50
272,1573,50
273,1563,50
274,1573,49
275,1575,51
276,1582,52
277,1594,52
